id,dept,first,last,numratings,overall_rating
631,Finance,Melanie,Cao,17,2.5
632,Business Administration,Ting,Cao,2,3.5
633,Mathematics,Jingyi,Cao,2,5
634,Music,Linda,Caplan,0,
635,Social Science,Jessica,Caporusso,0,
636,Kinesiology,Shauna,Cappe,0,
637,Music,Robb,Cappelletto,1,4.5
638,History,Valentina,Capurri,5,3.3
639,Chemistry,Chris,Caputo,7,5
640,Marketing,Pilar,Carbonell,40,3.4
641,Administration,Mark,Carbonelli,9,4.3
642,Biology,Michael,Cardinal-Aucoin,26,3.5
643,Portuguese,Ines,Cardoso,7,5
644,Kinesiology,Jesse,Carisse,0,
645,Kinesiology,Jessie,Carisse,0,
646,Social Science,Sarah,Carlen,6,3
647,English,James,Carley,19,3.5
648,Kinesiology,Gerard,Carlse,20,1.9
649,Sociology,Jesse,Carlson,8,2.5
650,Philosophy,Linda,Carozza,55,3
651,Humanities,Carole,Carpenter,72,2.1
652,Visual Arts,Ken,Carpenter,16,4.8
653,Not Specified,Peter,Carr,1,5
654,Languages,Fernanda,Carra Salsberg,32,4.5
655,Engineering,Roger,Carrick,2,5
656,Political Science,Indigo,Carson,3,1
657,English,Maria,Casas,6,3.8
658,Research,Devin,Casenhiser,0,
659,Accounting,Lewis,Cassar,9,3.3
660,Kinesiology,Laura,Castellani,1,5
661,Computer Science,Steven,Castellucci,40,3.8
662,Design,David,Caterini,3,3.7
663,Political Science,Kyle,Catto,1,1
664,Humanities,Mark,Cauchi,29,3.7
665,Social Science,Jon,Caulfield,29,4.8
666,Dance,Bridget,Cauthery,25,4.1
667,Sociology,Robin,Cavanagh,4,4.8
668,Mathematics,Forbes,Cavanagh,5,2.4
669,Sociology,Sheila,Cavanagh,32,3.9
670,Environmental Studies,Chris,Cavanagh,10,4.2
671,Economics,Scott,Cawfield,30,4.4
672,Mathematics,Cesar,Ceballos,15,4.3
673,Humanities,David,Cecchetto,12,4.9
674,Kinesiology,Rolando,Ceddia,82,3.5
675,Political Science,Cosku,Celik,7,4.1
676,Fine Arts,Hector,Centeno Garcia,0,
677,Psychology,Nicholas J.,Cepeda,7,3.9
678,Business,Domenico,Cerisano,1,4
679,Business Administration,Minerva,Cernea,4,4.2
680,English,Marija,Cetinic,3,5
681,Business Administration,Ena,Chadha,4,5
682,Biology,Paul,Chafe,5,4.8
683,Finance,Archishman,Chakraborty,6,4.7
684,Humanities,Kabita,Chakraborty,10,3.1
685,History,Denise,Challenger,4,3.5
686,Psychology,Robert,Chalmers,2,4
687,Mathematics,Stephen,Chamberlin,35,2.6
688,Kinesiology,Dave,Chambers,6,3.8
689,Music,Mark,Chambers,5,4
690,Business,David,Chan,25,3
691,Finance,Steve,Chan,0,
692,Mathematics,Kelvin,Chan,1,5
693,Mathematics,Jason,Chan,66,3.9
694,Mathematics,Ada,Chan,59,4.5
695,Human Resources Management,Christophor,Chan,21,3.2
696,Humanities,Mielle,Chandler,10,2
697,Accounting,Prof,Chandrani,1,5
698,Mathematics,Zhihua,Chang,4,4.2
699,Humanities,Gena,Chang-Campbell,16,3.2
700,"Languages, Lit., & Linguistics",Cassandra,Chapman,1,5
701,Social Work,Chris,Chapman,13,4.2
702,Social Science,Selom,Chapman-Nyaho,9,4
703,French Studies,Louise,Chaput,6,4.5
704,Social Science,Michelle,Charette,1,1
705,Marketing,Hendriks,Charles,86,4.2
706,Psychology,Pauline,Charlton,146,2.5
707,Social Science,Owen,Charters,3,2.3
708,Humanities,Tony,Chartrand-Burke,35,4.3
709,Biology,Helen,Chasiotis,24,4.7
710,Social Work,Soma,Chatterjee,15,1.7
711,Film,Bhaskar,Chattopadhyay,1,5
712,Accounting,Tom,Chatzidimos,27,4.8
713,Business,Humayun,Chaudhary,40,3.6
714,Anthropology,Arun,Chaudhuri,46,4.1
715,Anthropology,Aadita,Chaudhury,0,
716,Health Policy  Management,Claudia,Chaufan,22,3.3
717,Social Science,Saroj,Chawla,30,2.6
718,Mathematics,Jagmohan,Chawla,103,3
719,Psychology,James,Check,163,3.6
720,Information Technology,Stephen,Chen,155,2.6
721,Mathematics,William,Chen,16,4.6
722,Business,Yundi,Chen,13,3.9
723,Economics,Chaoran,Chen,5,4.8
724,Earth Science,Yongsheng,Chen,1,5
725,Mathematics,Michael,Chen,12,2.8
726,Chemistry,Jennifer,Chen,16,3.6
727,Communication,Boxi,Chen,1,5
728,Geography,Qiuming,Cheng,10,2.3
729,Kinesiology,Arthur,Cheng,14,4.8
730,Sociology,Rudhramoorthy,Cheran,8,3.8
731,Accounting,Dyson,Cheryl,0,
732,Engineering,Hugh,Chesser,16,2.1
733,Philosophy,Jai,Chetram,99,3.9
734,Engineering,Gene,Cheung,3,3.7
735,Biology,Peter,Cheung,66,3.6
736,Mathematics,Augustine,Chi Mou Wong,14,3.7
737,Social Science,Amber,Chiacchieri,12,4.7
738,Economics,Shin-Hwan,Chiang,51,3.7
739,Finance,Pat,Chiefalo,1,4.5
740,Political Science,Gregory,Chin,50,3.9
741,Computer Science,Amir,Chinaei,82,2.7
742,Accounting,Carl,Ching,23,3.7
743,Finance,Karen,Chiykowski,63,3.7
744,Finance,Greg,Chiykowski,31,4.1
745,English,Lily,Cho,11,3.9
746,Mathematics,David,Chodounsky,3,2.7
747,English,Tina,Choi,20,3.8
748,"Languages, Lit., & Linguistics",Yujeong,Choi,5,4
749,Psychology,Bryan,Choi,2,4
750,Psychology,Ji Yeh,Choi,3,2
751,Nursing,Jacqueline,Choiniere,8,3.5
752,Science,Ronald,Chopowick,18,3.6
753,Natural Sciences,Ron,Choppowick,0,
754,Science,Ron,Choppwick,0,
755,Business,Anne,Chow,14,3.6
756,Mathematics,Amenda,Chow,106,2.7
757,Psychology,Cheryl,Chow,1,5
758,Human Resources Management,James,Chowhan,9,3.6
759,Health,Candice,Christmas,6,3.2
760,History,John,Christopoulos,2,5
761,Humanities,Sylwia,Chrostowska,13,3.6
762,Applied Human Sciences,Jenny,Chu,0,
763,Computer Science,Vincent,Chu,1,1
764,Business,You-Ta,Chuang,44,3.2
765,Accounting,Janne,Chung,38,2.3
766,Accounting,Domenic,Cianflone,73,2.5
767,Psychology,Jorida,Cila,26,2.8
768,Social Science,Franco,Cimino,0,
769,Humanities,Carmela,Circelli,18,2.9
770,Philosophy,Michelle,Ciurria,8,4.2
771,Biology,Elizabeth,Clare,14,2.7
772,Humanities,Matthew,Clark,28,4.8
773,Biology,Juile,Clark,0,
774,Marketing,Jane-Michele,Clark,64,3.7
775,Biology,Julie,Clark,159,3.4
776,Psychology,Aaron,Clarke,4,5
777,Philosophy,Douglas,Clarke,7,1.9
778,Psychology,Holly,Clayton,14,4.1
779,English,Duncan,Clegg,2,2.2
780,Education,Elicia,Clements,0,
781,English,Elicia,Clements,34,3.7
782,Kinesiology,Taylor,Cleworth,3,4
783,Humanities,Deborah,Clipperton,59,3.3
784,Nursing,Robin,Coatsworth-Puspoky,0,
785,Social Science,Troy,Cochrane,2,4.5
786,Economics,David,Cochrane,0,
787,Administration,Allan,Cocunato,1,5
788,Social Science,Lewis,Code,57,3
789,Philosophy,Lorraine,Code,24,4.3
790,Biology,Imogen,Coe,38,2.1
791,Languages Lit.  Linguistics,Carlo,Coen,15,3
792,Humanities,Mary Anne,Coffey,53,2.1
793,Philosophy,Alain,Cogan,7,4.4
794,Music,Michael,Coghlan,15,3.5
795,English,Derek,Cohen,36,3.7
796,History,Libby,Cohen,13,3
797,Humanities,Tom,Cohen,100,4.1
798,Social Science,Rina,Cohen,29,3.1
799,Communication,Nicole,Cohen,2,4.2
800,History,Elizabeth,Cohen,0,
801,Business,Cael,Cohen,55,3.4
802,Management,Hila,Cohen,88,3.8
803,Economics,Avi,Cohen,173,4.5
804,Mathematics,Hila,Cohen,42,4
805,Economics,Avi J,Cohen,28,4.5
806,Music,Judith,Cohen,45,1.7
807,Public Policy,Daniel,Cohn,29,2.8
808,Social Science,Anthony,Colaguori,0,
809,Criminology,Claudio,Colaguori,1,5
810,Sociology,Claudio,Colaguori,106,4.7
811,Economics,Gordana,Colby,151,3.9
812,Environmental Studies,Kristen,Coleman,1,4
813,Earth Science,William,Colgan,8,2.9
814,Environmental Studies,Sheila,Colla,5,1
815,Economics,Reed,Collis,0,
816,Mathematics,Laura,Colmenarejo,12,2.7
817,Business,Heather,Colquhoun,3,3
818,Languages,Gabriella,Colussi-Arthur,21,3
819,Humanities,Gayle,Comeau,7,2.1
820,English,Michael,Commerford,1,4.5
821,Political Science,George,Comninel,15,4.7
822,Psychology,Julie,Conder,54,4
823,Psychology,Jenna,Congdon,3,5
824,Business,David,Conklin,15,4.5
825,Social Science,Terry,Conlin,104,3.8
826,Languages,Bruce,Connell,14,3
827,Psychology,Jennifer,Connolly,2,5
828,History,Patrick,Connor,7,4
829,Biology,Steven,Connor,6,4.2
830,Kinesiology,Michael,Connor,120,4.1
831,Art History,Liza,Constantino,1,5
832,Public Policy,Peter,Constantinou,20,2.7
833,Physics,Dagoberto,Contreras,1,5
834,English,Dave,Coodin,3,2.5
835,Sociology,Suzanne,Cook,5,4.8
836,Anthropology,Jessica,Cook,3,2.7
837,Public Policy,Murray,Cooke,16,2.8
838,Health,Jane,Cooke-Lauder,2,4
839,Anthropology,Rosemary,Coombe,0,
840,Business,Brian,Coon,22,3
841,Engineering,Thomas,Cooper,6,3.8
842,Humanities,Diana,Cooper-Clark,0,
843,English,Diana,Cooper-Clark,25,2.8
844,Biology,Angela,Cope,16,3.6
845,Human Resources Management,Tanya,Cora,0,
846,Applied Linguistics,James,Corcoran,0,
847,Social Science,Alex,Corey,1,5
848,Philosophy,Andreacutee-Anne,Cormier,1,5
849,Business,Amanda,Cornacchia,7,3.2
850,English,Chris,Cornish,32,4.8
851,Education,Brenda,Corrigan-Elliot,0,
852,Economics,Matias,Cortes,12,4.7
853,Social Science,Ian,Cosh,27,4.2
854,Anthropology,David,Cosh,0,
855,Languages,Elio,Costa,26,3
856,Management,John,Costa,1,3
857,Health,Christy,Costanian,9,1.7
858,History,Boyd,Cothran,10,4
859,Mathematics,Miles,Couchman,19,5
860,Communication,Natalie,Coulter,9,3.7
861,Communication Studies,Natalie,Coulter,16,4.2
862,Social Science,Lykke,Cour,6,2.9
863,Psychology,Christine,Courbasson,0,
864,Fine Arts Cultural Studies,Marc,Couroux,12,2.8
865,History,David,Cousins,26,4.5
866,Social Science,Noemia,Couto,0,
867,Sociology,Naomi,Couto,73,4.3
868,Nursing,Regina,Cowan,3,4.3
869,English,Cheryl,Cowdy Crawford,25,4.1
870,Not Specified,Cheryl,Cowdy-Crawford,1,1
871,Education,Adam,Cox,1,5
872,Business,Wesley,Cragg,17,1.9
873,Psychology,Stephanie,Craig,10,4.6
874,Disaster Management,Sophia,Craig,3,5
875,Applied Mathematics,Gordan,Craig,2,3.5
876,Mathematics,Gordon,Craig,5,2.4
877,Social Science,Mary-Louise,Craven,35,2.1
878,Social Science,Paul,Craven,17,3.1
879,Business,Janet Bell,Crawford,17,2.1
880,Psychology,John,Crawford,0,
881,Biology,Dorota Anna,Crawford,26,2.4
882,History,Tom,Crawshaw,0,
883,English,Julia,Creet,51,4.6
884,Biology,Michael,Crerar,38,2
885,Women's Studies,Carolina,Crewe,3,2.8
886,Computer Science,Peter,Cribb,50,3.2
887,Psychology,Robert,Cribbie,99,4.6
888,Education,Warren,Crichlow,18,3.1
889,Biology,Robert,Crippen,78,4.3
890,Philosophy,Matthew,Crippen,1,4
891,Administration,Sanchez-Rodriguez,Cristobal,5,3.1
892,Computer Science,Micheal,Croix,1,2
893,Women's Studies,Alison,Crosby,23,4.6
894,Psychology,Emily,Cross,5,2.4
895,Nursing,Anne,Crozier,61,3.3
896,History,Diana,Cucuz,6,4.7
897,Information Technology,Ken,Cudeck,39,2.1
898,Law,Tony,Cugliari,9,3.6
899,Information Technology,Xingcan,Cui,2,1
900,Philosophy,Jill,Cumby,20,4.1
901,Humanities,Peter,Cumming,43,3.7
902,English,Michael,Cummings,17,3.3
903,Political Science,Jordy,Cummings,0,
904,Kinesiology,Mark,Cummings,29,3
905,History,Jody,Cundy,0,
906,Music,Jeff,Cupchik,13,4.2
907,Social Work,Ann,Curry-Stevens,8,4.9
908,Psychology,Ashley,Curtis,4,3.2
909,Social Work,James,Curtis-Welsh,0,
910,History,Jose,Curto,26,3.4
911,Philosophy,Michael,Cust,0,
912,Humanities,Jennifer,Cypher,17,2.1
913,History,James,Cypher,20,4.5
914,Languages,Danielle,Cyr,22,3.7
915,Mathematics,Luiz Marcio,Cysneiros,59,1.8
916,Science,Barbara,Czaban,2,1
917,Natural Sciences,Barbara,Czaban,195,3.1
918,Engineering,Alex,Czekanski,11,3
919,Geography,Silvia,D'Addario,5,4.5
920,Social Science,Niki,D'Amore,0,
921,English,Elizabeth,D'Angelo,9,3.8
922,Psychology,Annalise,D'Souza,16,4.9
923,Business,Monica,Da Ponte,8,4.5
924,Biology,Tanya,Da Sylva,163,3.8
925,Music,Jaro,Dabrowski,5,3.4
926,Health Policy & Management,Sukaina,Dada,3,4.7
927,English,Vikrant,Dadawala,0,
928,Health Policy & Management,Amrita,Daftary,5,4.6
929,Mathematics,Alexander,Dahl,7,4.6
930,Visual Arts,M,Daigneault,16,3.8
931,Business Administration,Clare,Dale,3,5
932,Social Work,Andrea,Daley,7,3.8
933,Music,Mike,Daley,1,4
934,TA,Mike,Daley,5,4.9
935,Public Policy,Jennifer,Dalton,22,4.4
936,Sociology,Tamara,Daly,7,3.9
937,Social Science,Francesca,DAmico-Cuthbert,5,3.4
938,Women's Studies,Jenna,Danchuk,3,2.9
939,English,Lee,Danes,34,3.1
940,Finance,Diane,Dang,2,5
941,Administration,Jie,Dang,4,5
942,Social Science,Thi,Dao,0,
943,Geography,Nga,Dao,9,3.7
944,Environmental Studies,Sebastien,Darchen,1,2
945,Business Administration,Mohib,Dard,1,4
946,Mathematics,Jurij,Darewych,10,3.5
947,Education,Patrick,Darkhor,14,2
948,Marketing,Aron,Darmody,5,4.5
949,Visual Arts,Cynthia,Darnell,0,
950,Psychology,Christopher,Darren Green,4,2.2
951,Finance,James,Darroch,3,3.2
952,Geography,Raju,Das,43,4.1
953,Social Science,Tania,Das Gupta,28,3.5
954,Equity Studies,Tania,Das Gupta,0,
955,Administration,Abdullah,Dasci,6,4.4
956,Computer Science,Suprakash,Datta,64,3.6
957,Environmental Studies,Howard,Daugherty,5,4.9
958,Nursing,Melanie,Dauncey,5,2.4
959,Political Science,Elizabeth,Dauphinee,36,4.4
960,Visual Arts,Michael,Davey,4,2.9
961,Mathematics,Brian,Davey,0,
962,Mathematics,Jimmy,David,1,1
963,Mathematics,Jummy,David,1,5
964,Physics,Claire,David,8,1.8
965,Social Science,Leo,Davids,12,4.1
966,English,Sharon,Davidson,49,2
967,Sociology,Deborah,Davidson,44,3.2
968,Political Science,Matt,Davies,0,
969,Social Science,Megan,Davies,24,3
970,Education,Trent,Davis,12,4.9
971,Psychology,Caroline,Davis,14,1.6
972,Social Science,Arthur,Davis,14,3.2
973,Economics,Richard,Davis,2,5
974,Humanities,Andrea,Davis,74,4.4
975,Philosophy,Hilary,Davis,117,3.1
976,Gender Studies,Daria,Davydova,0,
977,Business,Cedric,Dawkins,3,4
978,Political Science,Massarah,Dawood,2,4.5
979,Equity Studies,Peter,Dawson,3,5
980,Sociology,Peter,Dawson,96,3.9
981,Kinesiology,Ashley,Day,5,3.6
982,Biology,Charlotte,de Araujo,26,2.9
983,Languages,Myriam,de Bie Waller,18,2.8
984,Environmental Studies,Ravi,de Costa,5,3.7
985,"Languages, Lit., & Linguistics",Melina,De Guglielmo,2,4.5
986,Environmental Studies,Iain,De Jong,0,
987,Social Science,Lykke,De la Cour,51,2.6
988,Kinesiology,Amanda,De Lisio,5,4.8
989,Social Science,Ann,De Shalit,3,3
990,Biology,Nick,De Silva,1,4.5
991,Psychology,Elisea,De Somma,4,4.5
992,Gender Studies,Tamara,de Szegheo Lang,3,3.7
993,Management,Graeme,Deans,38,3.5
994,Psychology,Lesley,Deas,1,4
995,Philosophy,Oisin,Deery,2,5
996,Theater,Sylvia,Defend,4,5
997,Sociology,Nadia,deGama,13,5
998,Sociology,Joseph,DeGrazia,0,
999,History,Dagomar,Degroot,2,4.2
1000,English,Judith,Deitch,46,2.9
1001,Health Science,Lina,Deker,0,
1002,Humanities,Brent,Delaney,2,5
1003,Physics,Paul,Delaney,85,4.6
1004,Music,Brian,Delima,8,4.3
1005,Computer Science,Ilir,Dema,28,4
1006,English,Jason,Demers,5,4.9
1007,Social Science,Dena,Demos,60,3.7
1008,Mathematics,Ziwang,Deng,13,1.5
1009,Anthropology,Kathryn,Denning,84,4.2
1010,Kinesiology,Paul,Dennis,30,5
1011,English,Denise,Dennis,5,4
1012,Psychology,Stella,Dentakos,3,4.3
1013,Biology,Harjot,Deol,18,4.6
1014,Humanities,Minoo,Derayeh,67,3.9
1015,Mathematics,Aram,Dermenjian,8,3.5
1016,Physics,Michael,Deroberties,5,4
1017,Computer Science,Konstantinos,Derpanis,14,4.5
1018,Engineering,Shital,Desai,0,
1019,Psychology,Joseph,DeSouza,39,2
1020,Psychology,J,DeSouza,36,3.2
1021,Psychology,Mary,Desrocher,38,5
1022,Nursing,Mahdieh,Destjerdi,2,4
1023,Psychology,Robert,Deutsch,33,3
1024,Business,Yuval,Deutsch,14,4.5
1025,Business,Sabrina,Deutsch Salamon,46,3.9
1026,Music,Dorothy,Deval,3,1.3
1027,Music,Johanna,Devaney,5,2.8
1028,Information Science,Chiranjiv,Devgun,9,2
1029,English,Christopher,Dewdney,11,2.6
1030,Political Science,David,Dewitt,12,4.2
1031,Not Specified,Bramilee,Dhayanandhan,6,4.8
1032,Administration,Sanjay,Dhebar,25,4
1033,Humanities,Mario,Di Paolantonio,15,4
1034,Accounting,Jessica,Di Rito,2,5
1035,"Languages, Lit., & Linguistics",Patrizia,Di Vincenzo,30,4.3
1036,Accounting,Diala,Diab,0,
1037,Biology,Eleni,Diakanastasis,1,5
1038,Education,Jerry,Diakiw,15,4.7
1039,Political Science,Jean-Pierre,Diamani,26,3.1
1040,Business Administration,Adam,Diamant,9,4.4
1041,Sociology,Fred,Diamond,43,2.5
1042,Social Work,Brenton,Diaz,57,3.8
1043,Education,Monica,Diaz-Greco,1,5
1044,Natural Sciences,Jairo,Diaz-Rodriguez,4,2.8
1045,History,Madelyn,Dick,15,3.9
1046,Economics,Andrew,Dickens,3,4
1047,Kinesiology,Lauren,Dickler,6,3.6
1048,Health,Julian,Digiovanni,1,4
1049,Science,Morris,Diguseppi,0,
1050,Business,Orlin,Dimitrov,6,1.8
1051,Sociology,Dimitrina,Dimitrova,12,3.4
1052,Philosophy,Susan,Dimock,33,4.5
1053,Political Science,Tim,Dimuzio,5,5
1054,Kinesiology,Serban,Dinca-Panaitescu,36,4.1
1055,Accounting,Shujun,Ding,25,3.6
1056,Languages,John,Dingley,12,3.9
1057,Education,Susan,Dion,20,2.6
1058,Kinesiology,Rylee,Dionigi,0,
1059,Education,Mario,Dipaolantonio,3,4.3
1060,Education,Don,Dippo,8,4.7
1061,Education,Donald,Dippo,0,
1062,Film,Moussa,Djigo,5,4.2
1063,Economics,Antoine,Djogbenou,4,5
1064,Education,Nombuso,Dlamini,8,2.9
1065,Business Administration,Marius,Dobre,91,2.1
1066,Social Science,Stephan,Dobson,7,4.9
1067,Visual Arts,Barbara,Dodge,11,3.2
1068,Disaster Management,Vera,Dodic,0,
1069,Languages,Maria Joao,Dodman,11,4.8
1070,Psychology,Faye,Doell,11,4.5
1071,Information Science,Ahmed,Doha,3,1
1072,Management,Pierre,Dolbec,1,2.5
1073,Science Technology & Society,Stephanie,Domenikos,51,4.9
1074,Finance,Dale,Domian,19,3.7
1075,Biology,Logan,Donaldson,134,2.5
1076,"Languages, Literatures & Linguistics",Alice,Dong,2,2.5
1077,Finance,Ming,Dong,35,3.3
1078,Natural Sciences,Andrew,Donini,59,4.7
1079,Design,Brian,Donnelly,15,4.6
1080,Humanities,Henriette,Donner,26,2.9
1081,French Studies,VL,Donsky,4,2.1
1082,English,Penelope,Doob,10,3.9
1083,History,Christopher,Dooley,17,4.7
1084,Administration,David,Doorey,47,4.4
1085,Theatre,Tosha,Dorion,0,
1086,Internation Service,David,Dorward,22,3.8
1087,International Studies,Angelo,Dossou-Yovo,19,2.8
1088,Nursing,Thomas,Doucet,4,2.4
1089,Science Technology amp Society,Conor,Douglas,20,1.8
1090,Education,Darcia,Douhaib,0,
1091,History,Bruce,Douville,1,4
1092,Social Science,Kevin,Dowler,64,2.7
1093,Social Science,Julie,Dowsett,32,4.1
1094,Philosophy,Elizabeth,Doyle,5,4.4
1095,Writing,Kerry,Doyle,35,4.6
1096,Political Science,Daniel,Drache,8,2.6
1097,Chemistry,Bojan,Dragisic,1,1
1098,Business,Joanna,Drakakis,10,4.8
1099,Kinesiology,Janessa,Drake,185,3.4
1100,Finance,Charles,Dreezer,12,4.6
1101,International Studies,Sabine,Dreher,3,1.7
1102,Health,Lynda,Dreumel,0,
1103,Geography,Taly,Drezner,47,4.5
1104,Social Science,Susan,Driver,10,1.8
1105,Accounting,Gail,Drory,34,3.6
1106,Economics,Helmar,Drost,18,4.3
1107,Social Science,Lisa,Drummond,34,1.9
1108,Political Science,Robert,Drummond,13,4.3
1109,Women's Studies,Enakshi,Dua,22,3.4
1110,Public Policy,Steven,Duca,9,1.4
1111,French Studies,Eugenie,Ducatel,33,4.8
1112,Psychology,Mary Jo,Ducharme,59,3.2
1113,Kinesiology,Tom,Duck,10,4.2
1114,Not Specified,Angus,Duff,10,4.2
1115,Social Science,Caroline,Dufour,13,3.8
1116,English,Daniel,Dufournaud,1,5
1117,Art History,Alana,Duggan,0,
1118,French Studies,Eric,Dumondou,0,
1119,Languages,Christiane,Dumont,45,2.6
1120,Languages Lit.  Linguistics,Liisa,Duncan,28,4.6
1121,Creative Writing,Jen,Duncan,24,3
1122,Education,Rishma,Dunlop,23,2.4
1123,Women's Studies,Alison,Dunwoody,0,
1124,Business,Michael,Dunwoody,2,4
1125,Nursing,Danielle,Dunwoody,36,1.6
1126,Music,Kwasi,Dunyo,10,3.3
1127,Social Science,Claudio,Duran,22,4.7
1128,Education,Marcela,Duran,17,4.3
1129,Design,Franci,Duran,5,1.7
1130,Science,Darrin,Durant,76,3.5
1131,Science,Andrea,Durant,11,4.6
1132,Education,Robert,Durocher,0,
1133,History,Alan,Durston,10,3
1134,Political Science,Eren,Duzgun,7,4.3
1135,Humanities,John,Dwyer,89,3.6
1136,Social Science,Patrick,Dwyer,1,2
1137,Kinesiology,Wally,Dyba,30,2.5
1138,Kinesiology,Walter,Dyba,3,4.3
1139,Psychology,Richard,Dyde,6,4.3
1140,Natural Sciences,Ruthanna,Dyer,44,4
1141,Computer Science,Patrick,Dymond,7,3.9
1142,Health Policy & Management,Bellraj,Eapen,1,2
1143,Political Science,Kimberly,Earles,5,4.2
1144,Humanities,Lynne,Earls,5,2.4
1145,English,Leonard,Early,8,4
1146,Psychology,John,Eastwood,32,4.8
1147,Economics,George,Eaton,14,3.3
1148,Political Science,Burkard,Eberlein,18,3.8
1149,Administration,Sepideh,Ebrahimi,7,4
1150,English,Mehraneh,Ebrahimi,17,4.9
1151,Computer Science,Andrew,Eckford,34,4
1152,Kinesiology,Heather,Edgell,15,3.4
1153,Social Science,Juliane,Edler,12,4.8
1154,Computer Science,Jeff,Edmonds,170,3.6
1155,History,Jonathan,Edmondson,46,4.4
1156,Economics,Steven,Edwards,83,3.8
1157,Social Work,Fiona,Edwards,2,1
1158,Philosophy,Lauren,Edwards,2,5
1159,Mathematics,Messoud,Efendiyev,2,3
1160,Law,Jake,Effoduh,3,5
1161,History,Marc,Egnal,73,4
1162,Languages,Susan,Ehrlich,33,4.2
1163,Humanities,Carl,Ehrlich,49,3.8
1164,Music,Mark,Eisenman,9,4.4
1165,Humanities,Yedida,Eisenstat,14,2.9
1166,"Languages, Lit., & Linguistics",Walid,El Khachab,14,3
1167,Information Technology,Christo,El Morr,30,3.3
1168,Art History,Tammer,El-Sheikh,9,4.1
1169,Film,Firoza,Elavia,38,3.9
1170,Computer Engineering,James,Elder,22,2.4
1171,Civil Engineering,Ahmed,Eldyasti,19,3
1172,"Languages, Literatures & Linguistics",Emily,Elfner,4,4.8
1173,Engineering,Misara,Elgammal,2,5
1174,Social Science,Paul,Elias,15,5
1175,Philosophy,Olaf,Ellefson,7,4.8
1176,French Studies,Brian,Elliot,11,2.6
1177,Social Science,Denielle,Elliott,31,2.7
1178,Social Science,Desmond,Ellis,31,3.4
1179,Marketing,Kate,Ellis,37,3.3
1180,Social Science,David,Ellis,46,3.4
1181,Business Administration,David,Elsner,4,4
1182,Languages,Nicholas,Elson,1,3.5
1183,Science,James,Elwick,81,3.7
1184,Humanities,Andrea,Emberly,22,4.6
1185,Kinesiology,Emilie,Emilie Roudier,24,2.9
1186,Bilingual Education,Karen,Englander,12,4.6
1187,Education,Linda,Ennis,6,4.7
1188,Anthropology,Timothy,Epp,13,3.9
1189,Nursing,Iris,Epstein,41,3.4
1190,Information Technology,Marina,Erechtchoukova,90,2.8
1191,Psychology,Caroline,Erentzen,18,4.9
1192,Fine Arts,Eshrat,Erfanian,19,2.2
1193,Geography,Bruce,Erickson,10,4.1
1194,Kinesiology,Karl,Erickson,6,5
1195,Sociology,Secil,Ertorer,2,5
1196,Sociology,Lorna,Erwin,5,4.4
1197,Music,Ruben,Esguerra,3,2.2
1198,Languages,Farbod,Eskandari,2,4
1199,English,Ramabai,Espinet,4,2.1
1200,Economics,Berta,Esteve-Volart,46,3.4
1201,Environmental Studies,Jose,Etcheverry,7,3.2
1202,Environmental Studies,David,Etkin,9,3.4
1203,Political Science,Paul,Evans,24,2.6
1204,Health,Jenna,Evans,1,5
1205,Accounting,K Paul,Evans,8,2.4
1206,Sociology,Jessica,Evans,0,
1207,Nursing,Sarah,Evans,3,3
1208,English,Vanessa,Evans,0,
1209,Theatre,Sarah,Evans,8,3.2
1210,Film,Barbara,Evans,15,2.6
1211,Political Science,Robert,Everett,13,4.1
1212,Accounting,Jeff,Everett,40,3.8
1213,English,Cecilia,Evoy,1,5
1214,Health,Oghenowede,Eyawo,8,3.2
1215,Business Administration,Souha,Ezzedeen,104,3.7
1216,Business Administration,Hussein,Fadlallah,1,5
1217,Education,Faiza,Fahim,3,5
1218,Communication,Craig,Fahner,0,
1219,Not Specified,Courtney,Fairweather,0,
1220,Languages,Courtney,Fairweather,85,3.6
1221,Not Specified,Arash,Falasiri,57,4.5
1222,Music,Frank,Falco,2,1.8
1223,Philosophy,Anthony,Falikowski,45,3.5
1224,Nursing,Adeline,Falk Rafael,0,
1225,Not Specified,Anthony,Falkowski,0,
1226,Kinesiology,Mazyar,Fallah,21,4.4
